กฟฟ.,ทะเบียน,จว.,รหัส,ยี่ห้อ,ลักษณะ/พิกัด,เลขเครื่อง,รุ่น/เลขชัชซี่,วันจดทะเบียน,อายุ,ประกันภัย,เชื้อเพลิง
กฟต.1,กจ-1869 ,พบ.  ,ต.1-01-2114,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT-1317217,MNBBSF010BW968148 / FORD RANGER,26/10/2554,6,ป.3,ดีเชล
กฟต.1,กจ-1870 ,พบ.  ,ต.1-01-2115,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT-1317333,MNBBSF010BW968153 / FORD RANGER,26/12/2554,6,ป.3,ดีเชล
กฟต.1,กจ-1912 ,พบ.  ,ต.1-01-2113,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT-1316652,MNBBSF010BW967727 / FORD RANGER,26/12/2554,6,ป.3,ดีเชล
กฟต.1,กจ-1914 ,พบ.  ,ต.1-01-2112,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT-1317232,MNBBSF010BW968144 /FORD RANGER,26/12/2554,6,ป.3,ดีเชล
กฟต.1,กจ-1930 ,พบ.  ,ต.1-01-2124,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT-1316451,MNBBSF010BW967686 /FORD RANGER,26/12/2554,6,ป.3,ดีเชล
กฟต.1,กฉ-1980 ,พบ.  ,ต.1-01-2171,TOYOTA              ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,2KD-S148328,MROER12G605502902 /KUN15R-PRMDHT,11/1/2556,4,ป.3,ดีเชล
กฟต.1,กฉ-2026 ,พบ.  ,ต.1-01-2172,TOYOTA              ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,2KD-S142600,MROER12GX05502904 /KUN15R-PRMDHT,11/1/2556,4,ป.3,ดีเชล
กฟต.1,กฉ-2035 ,พบ.  ,ต.1-01-2170,TOYOTA              ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,2KD-S146330,MR0ER12G605502883 / KUN15R-PRMDHT A8,11/1/2556,4,ป.3,ดีเชล
กฟต.1,กต-6137 ,พบ.  ,ต.1-01-1624,ISUZU               ,นั่งสองตอนสองแถว                                  ,4JH1AP8336,MP1TFR77H2T102609 / TFR77HDYQW/S,24/10/2544,16,ป.3,ดีเชล
กฟต.1,ขกล 502 ,พบ.  ,ต.1-02-3363,HONDA               ,จักรยานยนต์                                       ,C100SE-1082183,C100S-1082183 / DREAM,26/10/2558,2,,เบนชิล
กฟต.1,นข 1026 ,พบ.  ,ต.1-01-1502,TOYOTA              ,ตู้โดยสาร( 12-15 ที่นั่ง)                         ,5L-5380332,LH172-6117106 / ไฮเอช,5/2/2547,13,ป.3,ดีเชล
กฟต.1,นข 1813 ,พบ.  ,ต.1-01-2069,NISSAN              ,ตู้โดยสาร( 12-15 ที่นั่ง)                         ,ZD30 126671K,JN1VG4E25Z0716544 / VWS4RTFE25UWAY40AY,24/1/2551,9,ป.3,ดีเชล
กฟต.1,นข 836  ,พบ.  ,ต.1-01-1107,TOYOTA              ,ตู้โดยสาร( 12-15 ที่นั่ง)                         ,5L-5193968,LH172-1024227 / LH172 R-RBMR5,8/5/2545,15,ป.3,ดีเชล
